NAME                                   IMAGE                                                                     COMMAND                  SERVICE                CREATED             STATUS                       PORTS
milkyhoop-dev-api_gateway-1            milkyhoop-dev-api_gateway                                                 "tini -- uvicorn bac…"   api_gateway            2 weeks ago         Up 19 hours (healthy)        0.0.0.0:8001->8000/tcp, [::]:8001->8000/tcp
milkyhoop-dev-auth_service-1           milkyhoop-dev-auth_service                                                "tini -- python3 /ap…"   auth_service           2 weeks ago         Up 5 days (healthy)          5009/tcp, 0.0.0.0:7004->5004/tcp, [::]:7004->5004/tcp
milkyhoop-dev-chatbot_service-1        milkyhoop-dev-chatbot_service                                             "tini -- python3 /ap…"   chatbot_service        2 weeks ago         Up 5 days (healthy)          5009/tcp, 0.0.0.0:7003->5002/tcp, [::]:7003->5002/tcp
milkyhoop-dev-context_service-1        milkyhoop-dev-context_service                                             "tini -- python3 /ap…"   context_service        2 weeks ago         Up 5 days (healthy)          5009/tcp, 0.0.0.0:7007->5007/tcp, [::]:7007->5007/tcp
milkyhoop-dev-conversation_service-1   milkyhoop-dev-conversation_service                                        "tini -- python3 /ap…"   conversation_service   2 weeks ago         Up 5 days (healthy)          5009/tcp, 0.0.0.0:7002->5002/tcp, [::]:7002->5002/tcp
milkyhoop-dev-cust_context-1           milkyhoop-dev-cust_context                                                "tini -- python3 /ap…"   cust_context           2 weeks ago         Up 5 days (healthy)          5009/tcp, 0.0.0.0:7008->5008/tcp, [::]:7008->5008/tcp, 0.0.0.0:7080->8080/tcp, [::]:7080->8080/tcp
milkyhoop-dev-cust_orchestrator-1      sha256:3a33cd3437f76b15c4d83dc6dfe842400921d26bd95d569985405893b0d49855   "tini -- python3 /ap…"   cust_orchestrator      27 hours ago        Up 27 minutes (unhealthy)    5009/tcp, 0.0.0.0:7013->5013/tcp, [::]:7013->5013/tcp, 0.0.0.0:7081->8080/tcp, [::]:7081->8080/tcp
milkyhoop-dev-flow-executor-1          milkyhoop-dev-flow-executor                                               "/flow-executor"         flow-executor          2 weeks ago         Up 5 days                    0.0.0.0:7088->8088/tcp, [::]:7088->8088/tcp
milkyhoop-dev-frontend-1               milkyhoop-dev-frontend                                                    "/docker-entrypoint.…"   frontend               2 weeks ago         Up 5 days                    0.0.0.0:3001->80/tcp, [::]:3001->80/tcp
milkyhoop-dev-intent_parser-1          milkyhoop-dev-intent_parser                                               "tini -- python3 /ap…"   intent_parser          2 weeks ago         Up 5 days (healthy)          0.0.0.0:7009->5009/tcp, [::]:7009->5009/tcp
milkyhoop-dev-kafka-1                  confluentinc/cp-kafka:7.3.2                                               "/etc/confluent/dock…"   kafka                  2 weeks ago         Up 5 days (healthy)          0.0.0.0:7092->9092/tcp, [::]:7092->9092/tcp
milkyhoop-dev-memory_service-1         milkyhoop-dev-memory_service                                              "tini -- python3 /ap…"   memory_service         2 weeks ago         Up 5 days (healthy)          5009/tcp, 0.0.0.0:7000->5000/tcp, [::]:7000->5000/tcp
milkyhoop-dev-notification_service-1   milkyhoop-dev-notification_service                                        "/app/notification"      notification_service   2 weeks ago         Up 5 days (healthy)          0.0.0.0:7005->5005/tcp, [::]:7005->5005/tcp, 0.0.0.0:7082->8080/tcp, [::]:7082->8080/tcp
milkyhoop-dev-postgres-1               postgres:14                                                               "docker-entrypoint.s…"   postgres               2 weeks ago         Up 5 days (healthy)          0.0.0.0:5433->5432/tcp, [::]:5433->5432/tcp
milkyhoop-dev-ragcrud_service-1        milkyhoop-dev-ragcrud_service                                             "tini -- python3 /ap…"   ragcrud_service        2 weeks ago         Up 4 hours (healthy)         5009/tcp, 0.0.0.0:7001->5001/tcp, [::]:7001->5001/tcp
milkyhoop-dev-ragindex_service-1       milkyhoop-dev-ragindex_service                                            "tini -- python3 /ap…"   ragindex_service       2 weeks ago         Up 5 days (healthy)          0.0.0.0:7006->5006/tcp, [::]:7006->5006/tcp
milkyhoop-dev-ragllm_service-1         milkyhoop-dev-ragllm_service                                              "tini -- python3 /ap…"   ragllm_service         About an hour ago   Up About an hour (healthy)   0.0.0.0:7011->5000/tcp, [::]:7011->5000/tcp
milkyhoop-dev-redis-1                  redis:latest                                                              "docker-entrypoint.s…"   redis                  2 weeks ago         Up 5 days (healthy)          0.0.0.0:6380->6379/tcp, [::]:6380->6379/tcp
milkyhoop-dev-tenant_parser-1          milkyhoop-dev-tenant_parser                                               "tini -- python3 /ap…"   tenant_parser          10 days ago         Up 4 hours (unhealthy)       0.0.0.0:7012->5012/tcp, [::]:7012->5012/tcp
milkyhoop-dev-zookeeper-1              confluentinc/cp-zookeeper:7.3.2                                           "/etc/confluent/dock…"   zookeeper              2 weeks ago         Up 5 days                    2888/tcp, 3888/tcp, 0.0.0.0:7181->2181/tcp, [::]:7181->2181/tcp
