CONTAINER ID   IMAGE                                COMMAND                  CREATED             STATUS                             PORTS                                                                                                  NAMES
c47592efb33a   milkyhoop-dev-ragllm_service         "tini -- python3 /ap…"   About an hour ago   Up About an hour (healthy)         0.0.0.0:7011->5000/tcp, [::]:7011->5000/tcp                                                            milkyhoop-dev-ragllm_service-1
4f0e3a31789b   3a33cd3437f7                         "tini -- python3 /ap…"   27 hours ago        Up 27 minutes (unhealthy)          5009/tcp, 0.0.0.0:7013->5013/tcp, [::]:7013->5013/tcp, 0.0.0.0:7081->8080/tcp, [::]:7081->8080/tcp     milkyhoop-dev-cust_orchestrator-1
a4027fcd46e2   milkyhoop-dev-tenant_parser          "tini -- python3 /ap…"   10 days ago         Up 4 hours (unhealthy)             0.0.0.0:7012->5012/tcp, [::]:7012->5012/tcp                                                            milkyhoop-dev-tenant_parser-1
29fef55f4c3a   milkyhoop-dev-api_gateway            "tini -- uvicorn bac…"   2 weeks ago         Up 19 hours (healthy)              0.0.0.0:8001->8000/tcp, [::]:8001->8000/tcp                                                            milkyhoop-dev-api_gateway-1
faa8eb35ee05   redis:latest                         "docker-entrypoint.s…"   2 weeks ago         Up 5 days (healthy)                0.0.0.0:6380->6379/tcp, [::]:6380->6379/tcp                                                            milkyhoop-dev-redis-1
74e13559a8d5   milkyhoop-dev-frontend               "/docker-entrypoint.…"   2 weeks ago         Up 5 days                          0.0.0.0:3001->80/tcp, [::]:3001->80/tcp                                                                milkyhoop-dev-frontend-1
85df990305b8   milkyhoop-dev-flow-executor          "/flow-executor"         2 weeks ago         Up 5 days                          0.0.0.0:7088->8088/tcp, [::]:7088->8088/tcp                                                            milkyhoop-dev-flow-executor-1
3278f95f2260   milkyhoop-dev-notification_service   "/app/notification"      2 weeks ago         Up 5 days (healthy)                0.0.0.0:7005->5005/tcp, [::]:7005->5005/tcp, 0.0.0.0:7082->8080/tcp, [::]:7082->8080/tcp               milkyhoop-dev-notification_service-1
711b5ad7ee9a   confluentinc/cp-kafka:7.3.2          "/etc/confluent/dock…"   2 weeks ago         Up 5 days (healthy)                0.0.0.0:7092->9092/tcp, [::]:7092->9092/tcp                                                            milkyhoop-dev-kafka-1
3992683db454   milkyhoop-dev-conversation_service   "tini -- python3 /ap…"   2 weeks ago         Up 5 days (healthy)                5009/tcp, 0.0.0.0:7002->5002/tcp, [::]:7002->5002/tcp                                                  milkyhoop-dev-conversation_service-1
2958ec4baed8   milkyhoop-dev-cust_context           "tini -- python3 /ap…"   2 weeks ago         Up 5 days (healthy)                5009/tcp, 0.0.0.0:7008->5008/tcp, [::]:7008->5008/tcp, 0.0.0.0:7080->8080/tcp, [::]:7080->8080/tcp     milkyhoop-dev-cust_context-1
167c9db1f29f   milkyhoop-dev-memory_service         "tini -- python3 /ap…"   2 weeks ago         Up 5 days (healthy)                5009/tcp, 0.0.0.0:7000->5000/tcp, [::]:7000->5000/tcp                                                  milkyhoop-dev-memory_service-1
483b422d1176   milkyhoop-dev-context_service        "tini -- python3 /ap…"   2 weeks ago         Up 5 days (healthy)                5009/tcp, 0.0.0.0:7007->5007/tcp, [::]:7007->5007/tcp                                                  milkyhoop-dev-context_service-1
4254ad9336fe   milkyhoop-dev-auth_service           "tini -- python3 /ap…"   2 weeks ago         Up 5 days (healthy)                5009/tcp, 0.0.0.0:7004->5004/tcp, [::]:7004->5004/tcp                                                  milkyhoop-dev-auth_service-1
184fe70d6933   milkyhoop-dev-ragindex_service       "tini -- python3 /ap…"   2 weeks ago         Up 5 days (healthy)                0.0.0.0:7006->5006/tcp, [::]:7006->5006/tcp                                                            milkyhoop-dev-ragindex_service-1
ca869310d2cb   milkyhoop-dev-ragcrud_service        "tini -- python3 /ap…"   2 weeks ago         Up 4 hours (healthy)               5009/tcp, 0.0.0.0:7001->5001/tcp, [::]:7001->5001/tcp                                                  milkyhoop-dev-ragcrud_service-1
5c0a172e1853   milkyhoop-dev-chatbot_service        "tini -- python3 /ap…"   2 weeks ago         Up 5 days (healthy)                5009/tcp, 0.0.0.0:7003->5002/tcp, [::]:7003->5002/tcp                                                  milkyhoop-dev-chatbot_service-1
bad959d611af   milkyhoop-dev-intent_parser          "tini -- python3 /ap…"   2 weeks ago         Up 5 days (healthy)                0.0.0.0:7009->5009/tcp, [::]:7009->5009/tcp                                                            milkyhoop-dev-intent_parser-1
0ef429d88a35   confluentinc/cp-zookeeper:7.3.2      "/etc/confluent/dock…"   2 weeks ago         Up 5 days                          2888/tcp, 3888/tcp, 0.0.0.0:7181->2181/tcp, [::]:7181->2181/tcp                                        milkyhoop-dev-zookeeper-1
d6c2ee664e52   postgres:14                          "docker-entrypoint.s…"   2 weeks ago         Up 5 days (healthy)                0.0.0.0:5433->5432/tcp, [::]:5433->5432/tcp                                                            milkyhoop-dev-postgres-1
745fbb74076e   milkyhoop-staging-intent_parser      "tini -- python3 /ap…"   2 weeks ago         Up 5 days (healthy)                0.0.0.0:8609->5009/tcp, [::]:8609->5009/tcp                                                            milkyhoop-staging-intent_parser-1
3cb57b3b2e0f   milkyhoop-tenant_parser              "tini -- python3 /ap…"   3 weeks ago         Up 5 days (healthy)                0.0.0.0:5012->5012/tcp, [::]:5012->5012/tcp                                                            milkyhoop-tenant_parser-1
